acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.16,-9.56,1.62,-0.12,-0.03,-0.04,STD
-1.1,-9.61,1.62,-0.13,0.07,-0.07,STD
-1.25,-9.64,1.65,-0.14,0,-0.06,STD
-1.14,-9.7,1.76,-0.15,-0.04,-0.06,STD
-1.28,-9.66,1.77,-0.13,0.01,-0.07,STD
-1.29,-9.73,1.72,-0.11,-0.06,-0.04,STD
-1.28,-9.61,1.75,-0.13,0,-0.01,STD
-1.2,-9.61,1.69,-0.08,-0.02,0.01,STD
-1.09,-9.65,1.45,-0.08,-0.02,-0.01,STD
-1.14,-9.53,1.44,-0.15,-0.01,-0.01,STD
-1.16,-9.64,1.43,-0.12,0.01,-0.01,STD
-0.96,-9.84,1.43,-0.15,0.05,0.05,STD
-0.94,-9.59,1.4,-0.2,-0.04,-0.06,STD
-1.01,-9.76,1.72,-0.16,-0.09,-0.02,STD
-1.09,-9.81,1.52,-0.13,-0.04,-0.06,STD
-0.9,-9.8,1.81,-0.16,-0.11,-0.06,STD
-1.18,-9.64,1.78,-0.06,-0.08,-0.09,STD
-1.21,-9.81,1.64,-0.02,-0.08,-0.04,STD
-1.06,-9.75,1.31,-0.06,-0.05,-0.03,STD
-1.05,-9.71,1.54,-0.04,-0.07,0,STD
-1.02,-9.72,1.22,-0.05,0,0,STD
-1.02,-9.65,1.42,-0.1,0.01,0.05,STD
-0.8,-9.69,1.43,-0.05,0.03,0.02,STD
-0.85,-9.67,1.4,-0.1,-0.01,0.02,STD
-0.8,-9.65,1.7,-0.07,0,-0.02,STD
-0.86,-9.76,1.47,-0.07,-0.02,-0.06,STD
-0.94,-9.62,1.64,-0.14,-0.09,-0.08,STD
-0.98,-9.67,1.67,-0.06,-0.03,-0.09,STD
-1.09,-9.73,1.51,-0.1,-0.05,-0.08,STD
-1.13,-9.71,1.66,-0.12,-0.09,-0.07,STD
-1.11,-9.67,1.7,-0.08,-0.03,-0.04,STD
-1.14,-9.71,1.55,-0.07,0.03,0,STD
-1,-9.7,1.54,-0.08,0.03,0.01,STD
-0.9,-9.56,1.63,-0.09,-0.06,0.02,STD
-0.98,-9.64,1.54,-0.09,-0.06,-0.01,STD
-1.06,-9.77,1.66,-0.09,-0.04,0.03,STD
-0.96,-9.69,1.62,-0.12,0.01,0.06,STD
-0.93,-9.61,1.81,-0.09,-0.02,0.05,STD
-0.87,-9.73,1.59,-0.06,-0.02,0.03,STD
-0.88,-9.69,1.73,-0.11,0,0.05,STD
-0.89,-9.64,1.7,-0.04,0,0.03,STD
-0.81,-9.69,1.53,-0.08,0,0.02,STD
-0.83,-9.72,1.69,-0.08,-0.03,0.02,STD
-0.83,-9.59,1.46,-0.09,0.01,-0.02,STD
-0.94,-9.64,1.66,-0.09,-0.01,-0.02,STD
-0.84,-9.69,1.4,-0.09,0,-0.05,STD
-1.01,-9.67,1.61,-0.14,-0.05,-0.06,STD
-1.06,-9.64,1.66,-0.12,-0.03,-0.08,STD
-1.07,-9.71,1.62,-0.11,-0.01,-0.04,STD
-1.08,-9.69,1.68,-0.12,-0.01,-0.05,STD
-1.11,-9.69,1.6,-0.09,-0.02,-0.02,STD
-1.07,-9.7,1.63,-0.12,0.01,-0.01,STD
-1.05,-9.69,1.69,-0.09,0.02,0.01,STD
-1,-9.6,1.46,-0.11,0.02,0,STD
-0.93,-9.81,1.52,-0.1,0.01,-0.01,STD
-1.06,-9.61,1.57,-0.16,-0.04,-0.02,STD
-1,-9.74,1.81,-0.07,0,0,STD
-1.04,-9.72,1.49,-0.1,0,-0.02,STD
-0.95,-9.67,1.71,-0.1,-0.03,0.02,STD
-0.96,-9.71,1.53,-0.05,0,-0.04,STD
-1.11,-9.68,1.56,-0.12,-0.03,0,STD
-1.01,-9.7,1.6,-0.07,0.01,0.01,STD
-0.98,-9.6,1.54,-0.11,0.03,0,STD
-0.92,-9.6,1.56,-0.07,-0.03,-0.02,STD
-0.91,-9.78,1.56,-0.09,-0.04,-0.01,STD
-1.05,-9.62,1.59,-0.12,-0.01,-0.04,STD
-1.04,-9.72,1.57,-0.07,0,-0.02,STD
-1.15,-9.63,1.63,-0.12,0.01,0,STD
-1.07,-9.45,1.7,-0.1,0.07,0.03,STD
-0.88,-9.78,1.6,-0.02,0.04,-0.02,STD
-1.15,-9.8,1.36,-0.12,-0.05,0.01,STD
-1.2,-9.68,1.64,-0.11,0.05,0.03,STD
-0.99,-9.74,1.56,-0.1,0.02,0.06,STD
-0.86,-9.6,1.64,-0.1,0,0.03,STD
-1.04,-9.68,1.62,-0.09,-0.08,-0.03,STD
-1.02,-9.76,1.68,-0.09,-0.04,0,STD
-1.13,-9.71,1.53,-0.12,-0.02,-0.04,STD
-1.05,-9.6,1.79,-0.11,-0.08,0,STD
-1.15,-9.67,1.59,-0.06,-0.03,-0.04,STD
-1.14,-9.78,1.62,-0.07,-0.01,-0.01,STD
-1.14,-9.63,1.66,-0.08,-0.02,0,STD
-1.12,-9.77,1.75,-0.05,0.01,-0.02,STD
-1.21,-9.63,1.6,-0.06,0.04,0,STD
-1.26,-9.61,1.43,-0.07,0.01,-0.01,STD
-1.25,-9.52,1.75,-0.11,0.02,0.02,STD
-1.38,-9.69,1.54,0,0,0.03,STD
-1.3,-9.7,1.65,-0.15,0.06,0.04,STD
-1.36,-9.51,2.13,-0.08,-0.02,0.05,STD
-1.51,-9.76,1.7,0.04,0.03,0.09,STD
-1.43,-9.72,1.39,-0.12,0.17,0.15,STD
-1.28,-9.49,1.6,-0.1,0.09,0.17,STD
-0.88,-9.66,1.36,-0.04,0.07,0.12,STD
-1.01,-9.52,1.53,-0.21,-0.01,0.03,STD
-1.39,-9.55,1.7,-0.13,-0.15,-0.05,STD
-1.82,-9.59,1.71,-0.18,-0.18,0.04,STD
-1.4,-9.51,1.71,-0.15,0.06,0.04,STD
-1.46,-9.45,1.81,-0.16,0.12,-0.03,STD
-1.36,-9.74,1.59,0,-0.18,-0.03,STD
-1.47,-9.56,1.54,-0.18,-0.14,-0.1,STD
-1.92,-9.66,1.87,-0.16,-0.04,-0.07,STD
-1.63,-9.6,1.73,-0.04,-0.01,0.01,STD
-1.4,-9.64,1.47,-0.04,0.07,-0.01,STD
-1.34,-9.56,1.54,-0.11,-0.01,0,STD
-1.42,-9.62,1.4,-0.09,-0.02,-0.04,STD
-1.44,-9.58,1.42,-0.16,-0.01,-0.03,STD
-1.34,-9.57,1.72,-0.15,-0.01,0.01,STD
-1.27,-9.56,1.62,-0.05,-0.02,-0.09,STD
-1.45,-9.73,1.54,-0.09,0.01,-0.09,STD
-1.49,-9.63,1.51,-0.14,-0.03,-0.06,STD
-1.35,-9.58,1.43,-0.15,0.09,-0.1,STD
-1.23,-9.47,1.56,0,0.05,-0.02,STD
-1.19,-9.83,1.05,-0.15,-0.15,-0.13,STD
-1.47,-9.48,1.78,-0.34,-0.05,-0.09,STD
-1.28,-9.62,1.96,-0.07,-0.05,-0.12,STD
-1.49,-9.73,1.23,-0.09,0.01,-0.12,STD
-1.41,-9.74,1.63,-0.2,-0.07,-0.01,STD
-1.19,-9.73,1.55,-0.04,-0.03,-0.07,STD
-1.29,-9.76,1.27,-0.08,-0.01,0,STD
-1.29,-9.71,1.45,-0.12,0.07,0.02,STD
-1.17,-9.62,1.32,-0.06,0.13,0.02,STD
-1.01,-9.66,1.22,-0.07,0.01,0.04,STD
-1.1,-9.73,1.17,-0.1,-0.05,-0.04,STD
-1.23,-9.71,1.57,-0.14,0.02,0.01,STD
-1.11,-9.69,1.54,-0.09,0.02,-0.01,STD
-1.07,-9.68,1.66,-0.08,0,-0.01,STD
-1.12,-9.69,1.53,-0.05,0.01,-0.04,STD
-1.22,-9.68,1.49,-0.06,0.03,-0.01,STD
-1.06,-9.81,1.49,-0.04,0.03,-0.01,STD
-1.1,-9.63,1.41,-0.07,0.07,-0.04,STD
-1.18,-9.62,1.53,-0.04,0.03,-0.02,STD
-1.13,-9.71,1.36,-0.03,0.05,-0.03,STD
-1.07,-9.67,1.43,-0.08,0.06,-0.05,STD
-1.05,-9.62,1.52,-0.08,-0.05,-0.04,STD
-0.96,-9.71,1.58,-0.07,0.02,-0.08,STD
-1,-9.79,1.45,-0.09,-0.08,-0.13,STD
-1.3,-9.63,1.76,-0.14,-0.09,-0.13,STD
-1.44,-9.65,1.71,-0.04,-0.02,-0.1,STD
-1.29,-9.68,1.64,-0.04,-0.01,0.01,STD
-1.24,-9.57,1.78,-0.03,-0.01,0,STD
-1.16,-9.6,1.58,0.05,0.07,0.05,STD
